id,goodreads_desc,google_desc
3,"Born as a poor relation to the wealthy Warfield family, Wallis married at 18. When she met Ernest Simpson it was as if he was sent to save her from her past. But marriage to him led her to an extraordinary future.","Wallis Warfield Spencer Simpson retains her pride and courage through an unhappy childhood, secures money and status through her lovers, and finds fame as the Duchess of Windsor"
6,"Christmas has never been a particularly good time for Dr Kay Scarpetta. Although a holiday for most, the festivities always seem to heighten the alienation felt by society&aposs violent fringe; and that usually means more work for Scarpetta, Virginia&aposs Chief Medical Examiner and consulting forensic pathologist for the FBI.The body was naked, female, and found propped against a
Christmas has never been a particularly good time for Dr Kay Scarpetta. Although a holiday for most, the festivities always seem to heighten the alienation felt by society's violent fringe; and that usually means more work for Scarpetta, Virginia's Chief Medical Examiner and consulting forensic pathologist for the FBI.The body was naked, female, and found propped against a fountain in a bleak area of New York's Central Park. Her apparent manner of death points to a modus operandi that is chillingly familar: the gunshot wound to the head, the sections of skin excised from the body, the displayed corpse - all suggest that Temple Brooks Gault, Scarpetta's nemesis, is back at work.Calling on all her reserves of courage and skill, and the able assistance of colleagues Marino and Wesley, Scarpetta must track this most dangerous of killers in pursuit of survival as well as justice - heading inexorably to an electrifying climax amid the dark, menacing labyrinths of the New York subway.
...more",Dr. Kay Scarpetta matches wits with a sadistic killer who infiltrates the FBI's top-secret artificial intelligence system and closes in on Scarpetta herself.
10,"A man&aposs body, virtually decapitated, is found by the Bosphorus. His identity card names him as Rifat Berisha, an Albanian. The family is impenetrable but when Inspector Cetin Ikmen, whose mother was Albanian, consults his cousin, Samsun, he&aposs left in little doubt that Berisha&aposs death is likely to be the result of a fis, an implacable blood feud between rival Albanian famil
A man's body, virtually decapitated, is found by the Bosphorus. His identity card names him as Rifat Berisha, an Albanian. The family is impenetrable but when Inspector Cetin Ikmen, whose mother was Albanian, consults his cousin, Samsun, he's left in little doubt that Berisha's death is likely to be the result of a fis, an implacable blood feud between rival Albanian families. Which means the blood already shed will have to be avenged. And if the Berishas or their enemies discover Ikmen is from a noted Albanian clan, some of the spilt blood might be his...
...more","A man's body, virtually decapitated, is found by the Bosphorus. His identity card names him as Rifat Berisha, an Albanian. The family is impenetrable but when Inspector Cetin Ikmen, whose mother was Albanian, consults his cousin, Samsun, he's left in little doubt that Berisha's death is likely to be the result of a fis, an implacable blood feud between rival Albanian families. Which means the blood already shed will have to be avenged. And if the Berishas or their enemies discover Ikmen is from a noted Albanian clan, some of the spilt blood might be his..."
20,"Left to fend for herself in a deserted 21st-century countryside, Ren joins forces with three other teens to save an abandoned baby, as well as herself, in this epic adventure about finding one",A group of youngsters left alone in a futuristic world struggle to overcome their deepest fears.
24,"The path to the truth is as slippery as ice – in a city whose heart is just as cold. The cops of this precinct know that anyone can be a victim. Anyone can be a perp. And killers keep killing until you put them on...Once she&aposd been a dancer. Now she lies on a sidewalk, her blood seeping into the snow. Detectives Carella, Kling, Meyer, and Brown are learning all about ice: 
The path to the truth is as slippery as ice – in a city whose heart is just as cold. The cops of this precinct know that anyone can be a victim. Anyone can be a perp. And killers keep killing until you put them on...Once she'd been a dancer. Now she lies on a sidewalk, her blood seeping into the snow. Detectives Carella, Kling, Meyer, and Brown are learning all about ice: in a multimillion-dollar showbiz scam, in the glittering diamonds that spill out of a dead man's vest, in the veins of a small-time pusher. As the cops scramble for evidence, as the city shivers, a killer is one step ahead, and the heat is still up.
...more","Ice coats the streets where the rapist prowls. Ice spills from the pockets of a dead diamond dealer. Ice runs through the heart of a cold-blooded killer and that of the players in a multimillion dollar show-biz scam. And the deep chill of winter, it is the 87th Precinct who must brave the winds of death to save a city frozen with fear. National ads/media."
25,"TAKING CHANCES...After a broken love affair, Amanda Scott grasped at one straw after another, until finally she ended up in a line waiting to have the latest popular self-help expert autograph his book. Was it fate that placed Jordan Richards beside her, or h her life suddenly taken a turn better? Amanda didn&apost dare ask.Jordan was something special. With each tender touch 
TAKING CHANCES...After a broken love affair, Amanda Scott grasped at one straw after another, until finally she ended up in a line waiting to have the latest popular self-help expert autograph his book. Was it fate that placed Jordan Richards beside her, or h her life suddenly taken a turn better? Amanda didn't dare ask.Jordan was something special. With each tender touch and sizzling kiss, Amanda fell more deeply in love. But when her lover and Jordan's two small daughters showed up, Amanda and Jordan passion for each other was challenged in ways neither had anticipated ....Suddenly, risking all for love was the most daring move of all.
...more","Forming a shaky relationship, Amanda Scott and Jordan Richards hope to overcome the mistakes of the past but are threatened by the return of Amanda's former lover and Jordan's estranged wife. Reissue."
26,"An enchanting collection of tales, enchantments, things magical and strange, devils and demons, professors of potent powers, witchcraft and wizardry, and more. Master fantasy writer Anne McCaffrey has chosen 20 short tales and poems of wonder and awe, written by the finest writers of fantasy today, including Robert Silverberg, L. Sprague de Camp, R. A. Lafferty, Gene Wolfe
An enchanting collection of tales, enchantments, things magical and strange, devils and demons, professors of potent powers, witchcraft and wizardry, and more. Master fantasy writer Anne McCaffrey has chosen 20 short tales and poems of wonder and awe, written by the finest writers of fantasy today, including Robert Silverberg, L. Sprague de Camp, R. A. Lafferty, Gene Wolfe, Carol Emshwiller, Sonya Dorman, and others.Contents: Foreword / Anne McCaffrey — The dance of the solids / John Updike — A mess of porridge / Sonya Dorman — The Institute / Carol Emshwiller — Condillac’s statue / R. A. Lafferty — The sorcerers / L. Sprague de Camp — The weed of time / Norman Spinrad — Night and the loves of Joe Dicostanzo / Samuel R. Delany — Come up and see me / Daphne Castell — Shut the last door / Joe Hensley — Big Sam / Avram Davidson — More light / James Blish — The man who could not see devils / Joanna Russ — The Key to Out / Betsy Curtis — Ringing the changes / Robert Silverberg — In a quart of water / David Telfair — Morning-glory / Gene Wolfe — Ascension: a workday arabesque / Virginia Kidd — The Devil you don’t / Keith Laumer — The triumphant head / Josephine Saxton — Mainchance / Peter Tate
...more","An enchanting collection of tales, enchantments, things magical and strange, devils and demons, professors of potent powers, witchcraft and wizardry, and more. Master fantasy writer Anne McCaffrey has chosen 20 short tales and poems of wonder and awe, written by the finest writers of fantasy today, including: Robert Silverberg, L. Sprague de Camp, R.A. Lafferty, Gene Wolfe, Carol Emshwiller, Sonya Dorman, and others."
27,"English professor Karen Holloway stumbles upon the find of a lifetime: a battered, faded manuscript, the lost masterpiece of a 19th-century poet called Ismene. While racing against other scholars to bring Ismene&aposs true identity to light, she is haunted by a tormented voice screaming out to her from the Virginia woods.
English professor Karen Holloway stumbles upon the find of a lifetime: a battered, faded manuscript, the lost masterpiece of a 19th-century poet called Ismene. While racing against other scholars to bring Ismene's true identity to light, she is haunted by a tormented voice screaming out to her from the Virginia woods.
...more","Aspiring literary scholar Karen Holloway's discovery of a barely legible volume of verse from the nineteenth century encourages her to unlock its mysteries, discovering her own past wrapped up in the manuscript"
28,"Can a 400 year-old manuscript be the key to saving the world?CIA listening posts have detected evidence of an extraordinary operation by cosmonauts of the resurgent and aggressive Russian regime - a plan to deflect a giant asteroid into a collision course with the United States. The result would be unimaginable devastation, and the West&aposs top astrophysicists are secretly a
Can a 400 year-old manuscript be the key to saving the world?CIA listening posts have detected evidence of an extraordinary operation by cosmonauts of the resurgent and aggressive Russian regime - a plan to deflect a giant asteroid into a collision course with the United States. The result would be unimaginable devastation, and the West's top astrophysicists are secretly assembled to try and find a way of averting total disaster. But the key to finding the asteroid is an incredible one - its course was predicted in an obscure Renaissance manuscript, the only copy of which has now gone mysteriously missing...
...more","Can a 400 year-old manuscript be the key to saving the world? CIA listening posts have detected evidence of an extraordinary operation by cosmonauts of the resurgent and aggressive Russian regime - a plan to deflect a giant asteroid into a collision course with the United States. The result would be unimaginable devastation, and the West's top astrophysicists are secretly assembled to try and find a way of averting total disaster. But the key to finding the asteroid is an incredible one - its course was predicted in an obscure Renaissance manuscript, the only copy of which has now gone mysteriously missing..."
29,"When W.O. Mitchell died in 1998 he was described as “Canada&aposs best-loved writer.” Every commentator agreed that his best – and his best-loved – book was Who Has Seen the Wind. Since it was first published in 1947, this book has sold almost a million copies in Canada. As we enter the world of four-year-old Brian O’Connal, his father the druggist, his Uncle Sean, his mother,
When W.O. Mitchell died in 1998 he was described as “Canada's best-loved writer.” Every commentator agreed that his best – and his best-loved – book was Who Has Seen the Wind. Since it was first published in 1947, this book has sold almost a million copies in Canada. As we enter the world of four-year-old Brian O’Connal, his father the druggist, his Uncle Sean, his mother, and his formidable Scotch grandmother (“she belshes…a lot”), it soon becomes clear that this is no ordinary book. As we watch Brian grow up, the prairie and its surprising inhabitants like the Ben and Saint Sammy – and the rich variety of small-town characters – become unforgettable. This book will be a delightful surprise for all those who are aware of it, but have never quite got around to reading it, till now. 
...more","On back cover: ""This edition contains the full text of the book, more than 5,000 words longer than most published versions."""
31,"As Nina Auerbach writes in the New York Times, ""Stephen King assumes we hate vampires; Anne Rice makes it safe to love them, because they hate themselves. Kim Newman suspects that most of us live with them ... Anno Dracula is the definitive account of that post-modern species, the self-obsessed undead."" In this first of what looks to be an excellent series, Victorian Engla
As Nina Auerbach writes in the New York Times, ""Stephen King assumes we hate vampires; Anne Rice makes it safe to love them, because they hate themselves. Kim Newman suspects that most of us live with them ... Anno Dracula is the definitive account of that post-modern species, the self-obsessed undead."" In this first of what looks to be an excellent series, Victorian England has vampires at every level of society, especially the higher ones, and they engage in incessant intrigue, power games, and casual oppression of the weak—activities, as we know, that are all too human. Numerous characters from literature and from history appear in both major and cameo roles. Spectacular fight scenes, stormy politics, and a serial vampire killer keep the action lively. A scholarly bibliography is included.
...more","In an alternate history of the nineteenth century, Queen Victoria has married Vlad Tepes, better known as Count Dracula, leading to a reign of terror, while, in Whitechapel, Silver Knife, a murderer of vampire girls, threatens the new regime. Reprint. NYT."
32,"Vurt is a feather--a drug, a dimension, a dream state, a virtual reality. It comes in many colors: legal Blues for lullaby dreams. Blacks, filled with tenderness and pain, just beyond the law. Pink Pornovurts, doorways to bliss. Silver feathers for techies who know how to remix colors and open new dimensions. And Yellows--the feathers from which there is no escape.The beau
Vurt is a feather--a drug, a dimension, a dream state, a virtual reality. It comes in many colors: legal Blues for lullaby dreams. Blacks, filled with tenderness and pain, just beyond the law. Pink Pornovurts, doorways to bliss. Silver feathers for techies who know how to remix colors and open new dimensions. And Yellows--the feathers from which there is no escape.The beautiful young Desdemona is trapped in Curious Yellow, the ultimate Metavurt, a feather few have ever seen and fewer still have dared ingest. Her brother Scribble will risk everything to rescue his beloved sister. Helped by his gang, the Stash Riders, hindered by shadowcops, robos, rock and roll dogmen, and his own dread, Scribble searches along the edges of civilization for a feather that, if it exists at all, must be bought with the one thing no sane person would willingly give.
...more","Winner of the 1994 Arthur C. Clarke award, Vurt is a dark tale of England a few years from now. Scribble and his fellow stash riders are hooked on Vurt Feathers, the most powerful drug available. It lets them escape but it has its dangers."
