id,title,subtitle,authors,language,genre,published_date,page_count
3,Wallis,The Novel,"[""Anne Edwards""]",en,"[""Historical"",""Historical Fiction"",""Fiction"",""Novels""]",1991,478.0
6,From Potter's Field,,"[""Patricia Daniels Cornwell""]",en,"[""Mystery"",""Fiction"",""Mystery"",""Crime"",""Thriller"",""Thriller"",""Mystery Thriller"",""Suspense"",""Mystery"",""Murder Mystery"",""Mystery"",""Detective"",""Adult"",""Audiobook""]",1995,340.0
10,Deep Waters,,"[""Barbara Nadel""]",en,"[""Mystery"",""Mystery"",""Crime"",""Fiction""]",2002,441.0
20,Foundling,,"[""June Oldham""]",en,"[""Science Fiction"",""Childrens"",""Science Fiction"",""Dystopia"",""Fiction"",""Young Adult""]",1995,215.0
24,Ice,,"[""Ed McBain""]",en,"[""Mystery"",""Mystery"",""Crime"",""Fiction"",""Mystery"",""Detective"",""Thriller"",""Thriller"",""Mystery Thriller"",""Emergency Services"",""Police"",""New York"",""Suspense"",""Adventure""]",1984-04,320.0
25,Daring Moves,,"[""Linda Lael Miller""]",en,"[""Romance"",""Romance"",""Contemporary Romance"",""Contemporary"",""Fiction"",""Adult"",""Holiday"",""Christmas"",""Category Romance"",""Harlequin""]",1996-02,248.0
26,Alchemy and Academe,,"[""Anne McCaffrey""]",en,"[""Fantasy"",""Anthologies"",""Short Stories"",""Science Fiction Fantasy"",""Fiction"",""Science Fiction"",""Anthologies"",""Collections"",""Esoterica"",""Alchemy"",""Fantasy"",""Magic""]",1987-03-12,271.0
27,Houses of Stone,,"[""Barbara Michaels""]",en,"[""Mystery"",""Gothic"",""Fiction"",""Romance"",""Suspense"",""Gothic"",""Gothic Romance"",""Romance"",""Romantic Suspense"",""Fantasy"",""Paranormal"",""Fantasy"",""Supernatural"",""Thriller"",""Mystery Thriller""]",1994,384.0
28,Nemesis,,"[""Bill Napier""]",en,"[""Thriller"",""Fiction"",""Adventure"",""Science Fiction"",""Mystery"",""Suspense"",""Thriller"",""Mystery Thriller""]",1999,472.0
29,Who Has Seen the Wind,,"[""W. O. Mitchell""]",en,"[""Fiction"",""Cultural"",""Canada"",""Classics"",""Literature"",""Literature"",""Canadian Literature"",""Young Adult"",""Coming Of Age"",""Historical"",""Historical Fiction"",""Young Adult"",""Novels"",""Academic"",""Read For School""]",1985,293.0
31,ANNO DRACULA PB,,"[""Newman K.""]",en,"[""Horror"",""Fantasy"",""Paranormal"",""Vampires"",""Fiction"",""Historical"",""Historical Fiction"",""Science Fiction"",""Alternate History"",""Science Fiction"",""Steampunk"",""Fantasy"",""Paranormal"",""Historical"",""Mystery""]",1994-10-21,409.0
32,Vurt,,"[""Jeff Noon""]",en,"[""Science Fiction"",""Fiction"",""Science Fiction"",""Cyberpunk"",""Fantasy"",""Science Fiction"",""Dystopia"",""Speculative Fiction"",""Novels"",""Science Fiction Fantasy"",""Surreal"",""European Literature"",""British Literature""]",1994,344.0
33,To Die for,,"[""Janet Neel""]",en,"[""Mystery"",""European Literature"",""British Literature"",""Mystery"",""Crime""]",1998,240.0
36,Vanishing Point,,"[""John Nichol""]",en,"[""Fiction""]",1997,357.0
39,Hide and Seek,,"[""Fern Michaels""]",en,"[""Mystery"",""Fiction"",""Romance"",""Suspense"",""Womens Fiction"",""Chick Lit"",""Thriller"",""Mystery"",""Crime"",""Thriller"",""Mystery Thriller"",""Contemporary"",""Adult Fiction""]",2008,316.0
40,Springwater Wedding,,"[""Linda Lael Miller""]",en,"[""Romance"",""Romance"",""Historical Romance"",""Romance"",""Contemporary Romance"",""Romance"",""Western Romance"",""Westerns"",""Fiction"",""Contemporary"",""Historical"",""Historical"",""Historical Fiction""]",2002-01,384.0
42,Tales of Mithgar,,"[""Dennis L. McKiernan""]",en,"[""Fantasy"",""Science Fiction Fantasy"",""Fantasy"",""High Fantasy"",""Short Stories"",""Anthologies""]",1995-11-16,256.0
45,Let the Drum Speak,A Novel of Ancient America,"[""Linda Lay Shuler""]",en,"[""Historical"",""Historical Fiction"",""Fiction"",""Historical"",""Historical Fiction"",""Prehistoric"",""Romance"",""Adult"",""History"",""Prehistory"",""Drama"",""Native Americans"",""The United States Of America""]",1997,495.0
46,Back After the Break,,"[""Anita Notaro""]",en,"[""Womens Fiction"",""Chick Lit"",""Roman""]",2003,445.0
47,Pip,,"[""Freya North""]",en,"[""Womens Fiction"",""Chick Lit"",""Fiction"",""Romance"",""Contemporary"",""Romance"",""Contemporary Romance"",""Drama""]",2004,384.0
53,The Last Witness,,"[""John Matthews""]",en,"[""Mystery"",""Fiction"",""Business"",""Amazon"",""Thriller"",""Thriller"",""Mystery Thriller""]",2001,471.0
55,Garnethill,,"[""Denise Mina""]",en,"[""Mystery"",""Mystery"",""Crime"",""Fiction"",""Cultural"",""Scotland"",""Thriller"",""Mystery Thriller"",""Thriller"",""Adult"",""Suspense"",""Contemporary"",""European Literature"",""British Literature""]",1999,444.0
56,Into the Darkness,,"[""Barbara Michaels""]",en,"[""Mystery"",""Fiction"",""Gothic"",""Romance"",""Suspense"",""Romance"",""Romantic Suspense"",""Gothic"",""Gothic Romance"",""Fantasy"",""Supernatural"",""Thriller"",""Mystery Thriller"",""Thriller""]",1991,323.0
59,Pride and Prejudice,,"[""Jane Austen""]",en,"[""Classics"",""Fiction"",""Romance"",""Historical"",""Historical Fiction"",""Literature"",""Historical"",""Novels"",""Audiobook"",""Romance"",""Historical Romance"",""Adult""]",2006-04-06,432.0
60,Emma,,"[""Jane Austen""]",en,"[""Classics"",""Fiction"",""Romance"",""Historical"",""Historical Fiction"",""Literature"",""Historical"",""Audiobook"",""Literature"",""19th Century"",""Classics"",""Classic Literature"",""Novels""]",2006-04-06,512.0
61,Sense and Sensibility,,"[""Jane Austen""]",en,"[""Classics"",""Fiction"",""Romance"",""Historical"",""Historical Fiction"",""Literature"",""Historical"",""Audiobook"",""Literature"",""19th Century"",""Classics"",""Classic Literature"",""European Literature"",""British Literature""]",2007-12-06,416.0
62,With No One As Witness,,"[""Elizabeth George""]",en,"[""Mystery"",""Fiction"",""Mystery"",""Crime"",""Thriller"",""Thriller"",""Mystery Thriller"",""European Literature"",""British Literature"",""Audiobook"",""Mystery"",""Detective"",""Suspense"",""Mystery"",""Murder Mystery""]",2012-10-30,928.0
63,The House of Scorta,,"[""Laurent Gaudé"",""Stephen Sartarelli"",""Sophie Hawkes""]",en,"[""Fiction"",""Cultural"",""France"",""Historical"",""Historical Fiction"",""Roman"",""Cultural"",""Italy"",""Novels"",""Contemporary"",""Academic"",""Read For School"",""European Literature"",""French Literature"",""Academic"",""School""]",2007-01-01,289.0
64,Castaway,,"[""Lucy Irvine""]",en,"[""Nonfiction"",""Travel"",""Biography"",""Autobiography"",""Memoir"",""Adventure"",""Cultural"",""Australia"",""Adventure"",""Survival"",""Biography"",""Autobiography"",""Biography Memoir""]",1999,412.0
67,Red Dust,A Path Through China,"[""Jian Ma""]",en,"[""Cultural"",""China"",""Travel"",""Nonfiction"",""Cultural"",""Asia"",""History"",""Autobiography"",""Memoir"",""Biography"",""Biography"",""Autobiography"",""Asian Literature"",""Chinese Literature"",""Adventure""]",2006,324.0
68,The Old Man and the Sea,,"[""Ernest Hemingway""]",en,"[""Literary Fiction"",""Classics"",""Classic Literature"",""Classics"",""Novella"",""Young Adult"",""High School"",""Classics"",""Modern Classics"",""Adult"",""Fiction"",""Adult Fiction"",""Historical"",""Historical Fiction""]",2004,109.0
